subgroup,subgroup_size,demographics_parity,equalized_opportunity
christian,2109,0.05026078710289237,0.40476190476190477
female,2602,0.07724827056110684,0.4828571428571429
male,2112,0.09943181818181818,0.496875
jewish,411,0.10218978102189781,0.4411764705882353
muslim,1054,0.11954459203036052,0.39914163090128757
homosexual_gay_or_lesbian,538,0.1524163568773234,0.4155844155844156
psychiatric_or_mental_illness,238,0.15966386554621848,0.6111111111111112
black,761,0.16819973718791065,0.43902439024390244
white,1178,0.17232597623089982,0.45325779036827196
