subgroup,subgroup_size,subgroup_auc,bpsn_auc,bnsp_auc
muslim,1054,0.8413350201000559,0.9044233230819307,0.9522567139116996
homosexual_gay_or_lesbian,538,0.8428537608225108,0.8943875989330534,0.9557198849334247
black,761,0.8492382982082249,0.9019978264596947,0.9558715153467751
white,1178,0.8554777234097347,0.8968567136886103,0.960031345459947
jewish,411,0.9074772766249357,0.9385190986870445,0.952236052492746
male,2112,0.9247855050223214,0.9520113606702236,0.9528492374730773
psychiatric_or_mental_illness,238,0.936694847020934,0.9254622696744337,0.9733040009648969
female,2602,0.9381153260593759,0.9676162965474969,0.9442741437916198
christian,2109,0.9408410441585798,0.9736833662810576,0.9363770860907003
